epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.007150927981602907,0.001,0.007150927981602907,0.0050288873586524915,0.0050288873586524915
1,0.0039241356270949415,0.001,0.0039241356270949415,0.004437909881603353,0.004437909881603353
2,0.003275319174490552,0.001,0.003275319174490552,0.0035834988199655903,0.0035834988199655903
3,0.0029884635388146724,0.001,0.0029884635388146724,0.0034685582578258245,0.0034685582578258245
4,0.002814347953178636,0.001,0.002814347953178636,0.0033777648284651187,0.0033777648284651187
5,0.002633055730959245,0.001,0.002633055730959245,0.0035247472721804565,0.0035247472721804565
6,0.0024970360771789384,0.001,0.0024970360771789384,0.002874218827987812,0.002874218827987812
7,0.0023844635228148867,0.001,0.0023844635228148867,0.003094430715986052,0.003094430715986052
8,0.0022919638417312144,0.001,0.0022919638417312144,0.003523933515269436,0.003523933515269436
9,0.002217417910514206,0.001,0.002217417910514206,0.002728904030051361,0.002728904030051361
